model,regularization,lambda,error,rmse,activation_fn
"[11, 50, 30, 1]",L2,0.5,nan,nan,relu
"[11, 10, 20, 1]",None,0,0.02361333964755006,0.15353342829819927,tanh
"[11, 10, 20, 1]",L1,0.01,0.20696497487149104,0.6163693833702181,tanh
"[11, 10, 20, 1]",L2,0.01,0.4377639047118293,0.9093983656995781,tanh
"[11, 10, 20, 1]",L1,0.1,0.023882400571440917,0.1088191936743221,tanh
"[11, 10, 20, 1]",L2,0.1,0.07287904478731774,0.30506642507596343,tanh
"[11, 10, 20, 1]",L1,0.5,0.13437774227207386,0.4193627848999512,tanh
"[11, 10, 20, 1]",L2,0.5,0.2236754995763891,0.5935841031709731,tanh
"[11, 50, 30, 1]",None,0,0.03419689648334402,0.3050867637566225,tanh
"[11, 50, 30, 1]",L1,0.01,0.018114072126985487,0.15327758928255023,tanh
"[11, 50, 30, 1]",L2,0.01,0.024023992854121195,0.19839147048651695,tanh
"[11, 50, 30, 1]",L1,0.1,0.22358555211520326,0.6472395886861755,tanh
"[11, 50, 30, 1]",L2,0.1,0.14477834868353753,0.4958964849189058,tanh
"[11, 50, 30, 1]",L1,0.5,0.2719598055679543,0.6709277988255437,tanh
"[11, 50, 30, 1]",L2,0.5,0.829447618552781,1.2293478609205553,tanh
"[11, 10, 20, 1]",None,0,1.0160169872065645,1.291549787861286,relu
"[11, 10, 20, 1]",L1,0.01,3.085712782943673,2.4813669636062525,relu
"[11, 10, 20, 1]",L2,0.01,1.7930132013898532,1.9369553983522418,relu
"[11, 10, 20, 1]",L1,0.1,0.02196754927014321,0.2309934341062875,relu
"[11, 10, 20, 1]",L2,0.1,2.774862898555345,2.3720849552439662,relu
"[11, 10, 20, 1]",L1,0.5,0.03975503560523437,0.25747417928275507,relu
"[11, 10, 20, 1]",L2,0.5,0.08583480708696095,0.37746955246919145,relu
"[11, 50, 30, 1]",None,0,0.05732202289398353,0.36259260718662417,relu
"[11, 50, 30, 1]",L1,0.01,0.9910326738169362,1.4400842685442021,relu
"[11, 50, 30, 1]",L2,0.01,2.2006869087311967,2.0837499038935,relu
"[11, 50, 30, 1]",L1,0.1,1.1775103784662242,1.5270772040063836,relu
"[11, 50, 30, 1]",L2,0.1,0.49248194641020543,0.9837393631564756,relu
"[11, 50, 30, 1]",L1,0.5,0.4523439407430937,0.9700369038187538,relu
"[11, 50, 30, 1]",L2,0.5,1.5727090394621013,1.838163972364484,relu
"[11, 10, 20, 1]",None,0,0.015755193180247807,0.16303265067717382,tanh
"[11, 10, 20, 1]",L1,0.01,0.030226565000827252,0.22670057052726358,tanh
"[11, 10, 20, 1]",L2,0.01,0.022615687577908498,0.13973933455682558,tanh
"[11, 10, 20, 1]",L1,0.1,0.049377588417926686,0.2791659437541289,tanh
"[11, 10, 20, 1]",L2,0.1,0.032700374247870506,0.1062924631780419,tanh
"[11, 10, 20, 1]",L1,0.5,0.13061295893363742,0.41203941061959704,tanh
"[11, 10, 20, 1]",L2,0.5,0.24287421901612247,0.5984935831590376,tanh
"[11, 50, 30, 1]",None,0,0.029935029180589642,0.2787073856715304,tanh
"[11, 50, 30, 1]",L1,0.01,0.024198451753992416,0.19703154834250228,tanh
"[11, 50, 30, 1]",L2,0.01,0.030626273636225762,0.26410316136958656,tanh
"[11, 50, 30, 1]",L1,0.1,0.3244559082790676,0.7901683363451504,tanh
"[11, 50, 30, 1]",L2,0.1,0.039151135610600574,0.20956833374072786,tanh
"[11, 50, 30, 1]",L1,0.5,0.15627862977540763,0.46672399384854774,tanh
"[11, 50, 30, 1]",L2,0.5,0.3315745320671846,0.7264519701067723,tanh
"[11, 32, 1]",None,0,0.10757793227514265,0.4723991889943893,relu,50,64
"[11, 64, 1]",None,0,0.09895331580854967,0.4508073697306335,relu,50,64
"[11, 128, 1]",None,0,0.07838968177625398,0.4109132772477833,relu,50,64
"[11, 32, 64, 1]",None,0,0.06811643246305787,0.4369498643236871,relu,50,64
"[11, 32, 128, 1]",None,0,0.0728911775341229,0.4246344226727622,relu,50,64
"[11, 32, 64, 128, 1]",None,0,0.06331874414747636,0.46132287004279376,relu,50,64
"[11, 32, 32, 128, 1]",None,0,0.08092939067180996,0.46555375678693567,relu,50,64
"[11, 32, 32, 128, 1]",L1,0.001,0.057924216751779306,0.39106577273874343,relu,50,64
"[11, 32, 32, 128, 1]",L2,0.001,0.07269055331856061,0.44457996241753345,relu,50,64
"[11, 32, 32, 128, 1]",L1,0.1,0.0588682208832574,0.34475974618298927,relu,50,64
"[11, 32, 32, 128, 1]",L2,0.1,0.057030601204978534,0.4124496704084066,relu,50,64
"[11, 32, 1]",None,0,0.07917350141128814,0.4271029387639693,tanh,50,64
"[11, 64, 1]",None,0,0.07526233124977749,0.47856176717571886,tanh,50,64
"[11, 128, 1]",None,0,0.14237467409970447,0.5982268261293625,tanh,50,64
"[11, 32, 64, 1]",None,0,0.16035001662472384,0.5832665198330661,tanh,50,64
"[11, 32, 128, 1]",None,0,0.036039180147771625,0.3065759538382113,tanh,50,64
"[11, 32, 64, 128, 1]",None,0,0.03294402735878717,0.34099991260474916,tanh,50,64
"[11, 32, 32, 128, 1]",None,0,0.0648682424775102,0.3681352326335078,tanh,50,64
"[11, 32, 32, 128, 1]",L1,0.001,0.03806142568798356,0.2719870014909989,tanh,50,64
"[11, 32, 32, 128, 1]",L2,0.001,0.03366790316338567,0.26642142890817433,tanh,50,64
"[11, 32, 32, 128, 1]",L1,0.1,0.04532179720252153,0.2702624375263575,tanh,50,64
"[11, 32, 32, 128, 1]",L2,0.1,0.038751958772103315,0.26594770334980744,tanh,50,64
"[11, 32, 1]",None,0,0.06943496458779899,0.38006445752699747,relu,50,32
"[11, 64, 1]",None,0,0.05484526707301219,0.3640573486221435,relu,50,32
"[11, 128, 1]",None,0,0.05494322885526813,0.34685542897068705,relu,50,32
"[11, 32, 64, 1]",None,0,0.039311513923468835,0.3040005076418806,relu,50,32
"[11, 32, 128, 1]",None,0,0.03234264405920351,0.29837790796608515,relu,50,32
"[11, 32, 64, 128, 1]",None,0,0.045400075398042194,0.4099764069334709,relu,50,32
"[11, 32, 32, 128, 1]",None,0,0.03680836751847608,0.35596642230397657,relu,50,32
"[11, 32, 32, 128, 1]",L1,0.001,0.03950745629109012,0.3117654937094763,relu,50,32
"[11, 32, 32, 128, 1]",L2,0.001,0.03606052576818545,0.3449800188466198,relu,50,32
"[11, 32, 32, 128, 1]",L1,0.1,0.048457586196160383,0.3003770644931269,relu,50,32
"[11, 32, 32, 128, 1]",L2,0.1,0.035067751157284194,0.2715389381162647,relu,50,32
"[11, 32, 1]",None,0,0.04116928374688204,0.2785456754674747,tanh,50,32
"[11, 64, 1]",None,0,0.03257336769571635,0.3507828068959159,tanh,50,32
"[11, 128, 1]",None,0,0.04454953536444306,0.3778920056638505,tanh,50,32
"[11, 32, 64, 1]",None,0,0.018196477627181514,0.29697745840501993,tanh,50,32
"[11, 32, 128, 1]",None,0,0.020344340082380986,0.21328247766416586,tanh,50,32
"[11, 32, 64, 128, 1]",None,0,0.016474265414995488,0.2832178632511919,tanh,50,32
"[11, 32, 32, 128, 1]",None,0,0.017743592877100305,0.20579441531498907,tanh,50,32
"[11, 32, 32, 128, 1]",L1,0.001,0.026489383110787173,0.22671220528228214,tanh,50,32
"[11, 32, 32, 128, 1]",L2,0.001,0.017958626249528587,0.1992789562523143,tanh,50,32
"[11, 32, 32, 128, 1]",L1,0.1,0.05707987859042016,0.1881411104091711,tanh,50,32
"[11, 32, 32, 128, 1]",L2,0.1,0.02925643228715428,0.24048369613207274,tanh,50,32
"[11, 32, 1]",None,0,0.08990027830062923,0.42648115400745984,relu,50,64
"[11, 64, 1]",None,0,0.08410051717705078,0.43298421566309325,relu,50,64
"[11, 128, 1]",None,0,0.07336888342264895,0.39392626912814727,relu,50,64
"[11, 32, 64, 1]",None,0,0.05986011279498777,0.38178528077845586,relu,50,64
"[11, 32, 128, 1]",None,0,0.05201665990802751,0.3732407454808845,relu,50,64
"[11, 32, 64, 128, 1]",None,0,0.06289447089394382,0.469396410252084,relu,50,64
"[11, 32, 32, 128, 1]",None,0,0.05880965602202311,0.3928056380670504,relu,50,64
"[11, 32, 32, 128, 1]",L1,0.001,0.06439561954461212,0.42658644242313365,relu,50,64
"[11, 32, 32, 128, 1]",L2,0.001,0.09438713436338568,0.4844886876475194,relu,50,64
"[11, 32, 32, 128, 1]",L1,0.1,0.07162472808149659,0.3783990660596986,relu,50,64
"[11, 32, 32, 128, 1]",L2,0.1,0.06592398547957558,0.3728864178543165,relu,50,64
"[11, 32, 1]",None,0,0.09215908869763224,0.4707094555671248,tanh,50,64
"[11, 64, 1]",None,0,0.0770706483723273,0.48450108771722866,tanh,50,64
"[11, 128, 1]",None,0,0.09923140426441408,0.5402069933016763,tanh,50,64
"[11, 32, 64, 1]",None,0,0.035236971323950664,0.3637033509518595,tanh,50,64
"[11, 32, 128, 1]",None,0,0.03598905751110299,0.3076407743729536,tanh,50,64
"[11, 32, 64, 128, 1]",None,0,0.03948293990340446,0.3801439697521457,tanh,50,64
"[11, 32, 32, 128, 1]",None,0,0.03507828036406783,0.2683245758570671,tanh,50,64
"[11, 32, 32, 128, 1]",L1,0.001,0.04044489989680537,0.28599490841237823,tanh,50,64
"[11, 32, 32, 128, 1]",L2,0.001,0.04020103607999836,0.3373427873933858,tanh,50,64
"[11, 32, 32, 128, 1]",L1,0.1,0.05079551227230957,0.2865024140123519,tanh,50,64
"[11, 32, 32, 128, 1]",L2,0.1,0.0360993051553136,0.25962905906436856,tanh,50,64
"[11, 32, 1]",None,0,0.05536235212650426,0.33976591663053657,relu,100,32
"[11, 64, 1]",None,0,0.046013807742341685,0.3441570564386544,relu,100,32
"[11, 128, 1]",None,0,0.03675156789687064,0.2968211249827814,relu,100,32
"[11, 32, 64, 1]",None,0,0.02143596111529978,0.25383633650653215,relu,100,32
"[11, 32, 128, 1]",None,0,0.022508754954404853,0.25155217773973854,relu,100,32
"[11, 32, 64, 128, 1]",None,0,0.023332607880416627,0.31499281350989267,relu,100,32
"[11, 32, 32, 128, 1]",None,0,0.01581490637599499,0.23538676951196433,relu,100,32
"[11, 32, 32, 128, 1]",L1,0.001,0.021101622356228807,0.26526199226421077,relu,100,32
"[11, 32, 32, 128, 1]",L2,0.001,0.018163918329364447,0.2372919227861589,relu,100,32
"[11, 32, 32, 128, 1]",L1,0.1,0.013458740161845468,0.13540139633711987,relu,100,32
"[11, 32, 32, 128, 1]",L2,0.1,0.012797117987860736,0.15409523818352225,relu,100,32
"[11, 32, 1]",None,0,0.02202345541783085,0.21243088809720453,tanh,100,32
"[11, 64, 1]",None,0,0.01643841462067164,0.26054424320090597,tanh,100,32
"[11, 128, 1]",None,0,0.022977851016800575,0.2816988987512483,tanh,100,32
"[11, 32, 64, 1]",None,0,0.009683315464399682,0.2631393711445797,tanh,100,32
"[11, 32, 128, 1]",None,0,0.007377295164596625,0.16653040767141203,tanh,100,32
"[11, 32, 64, 128, 1]",None,0,0.006875799891281817,0.20414934510150123,tanh,100,32
"[11, 32, 32, 128, 1]",None,0,0.009210764909777297,0.1588667704944705,tanh,100,32
"[11, 32, 32, 128, 1]",L1,0.001,0.013804556750655131,0.2028851785196483,tanh,100,32
"[11, 32, 32, 128, 1]",L2,0.001,0.008175420001912428,0.18070378324935402,tanh,100,32
"[11, 32, 32, 128, 1]",L1,0.1,0.05930488526222484,0.2333148751426061,tanh,100,32
"[11, 32, 32, 128, 1]",L2,0.1,0.016956186409143276,0.1547470367552326,tanh,100,32
"[11, 32, 1]",None,0,0.07343963326991144,0.38817946464549163,relu,100,64
"[11, 64, 1]",None,0,0.06544010585879617,0.3913611477744836,relu,100,64
"[11, 128, 1]",None,0,0.05446454071972254,0.3502473479611219,relu,100,64
"[11, 32, 64, 1]",None,0,0.04047261508037898,0.3351049853850098,relu,100,64
"[11, 32, 128, 1]",None,0,0.0376982427249187,0.3152643910674106,relu,100,64
"[11, 32, 64, 128, 1]",None,0,0.042538002735123655,0.4039443078146784,relu,100,64
"[11, 32, 32, 128, 1]",None,0,0.04094295504285508,0.33296912612482066,relu,100,64
"[11, 32, 32, 128, 1]",L1,0.001,0.040701590815370024,0.3292679633787564,relu,100,64
"[11, 32, 32, 128, 1]",L2,0.001,0.044091919562791584,0.3574265999918649,relu,100,64
"[11, 32, 32, 128, 1]",L1,0.1,0.04645353523503683,0.2797081309997391,relu,100,64
"[11, 32, 32, 128, 1]",L2,0.1,0.03803896547492292,0.27858549402327687,relu,100,64
"[11, 32, 1]",None,0,0.048556610207495327,0.34133194600634703,tanh,100,64
"[11, 64, 1]",None,0,0.03704046128018847,0.3626865200980008,tanh,100,64
"[11, 128, 1]",None,0,0.05061868549354863,0.3982131594091357,tanh,100,64
"[11, 32, 64, 1]",None,0,0.02066126613886973,0.3259646307176889,tanh,100,64
"[11, 32, 128, 1]",None,0,0.016336382997783446,0.22098968971911367,tanh,100,64
"[11, 32, 64, 128, 1]",None,0,0.01552077192725645,0.274178850606522,tanh,100,64
"[11, 32, 32, 128, 1]",None,0,0.01873107339864213,0.20355290695953357,tanh,100,64
"[11, 32, 32, 128, 1]",L1,0.001,0.01795804781280834,0.1946377965856098,tanh,100,64
"[11, 32, 32, 128, 1]",L2,0.001,0.017667631714179288,0.19225332310005405,tanh,100,64
"[11, 32, 32, 128, 1]",L1,0.1,0.038261109220737555,0.2165186887218156,tanh,100,64
"[11, 32, 32, 128, 1]",L2,0.1,0.02127866244949624,0.1823121139651544,tanh,100,64
"[11, 64, 1]",None,0,0.05727038747902372,0.37016760103323676,relu,50,32
"[11, 128, 1]",None,0,0.05644674623198098,0.369959335859228,relu,50,32
"[11, 64, 32, 1]",None,0,0.05199279957700882,0.357845719988887,relu,50,32
"[11, 128, 32, 1]",None,0,0.10807614317801252,0.5019292488872948,relu,50,32
"[11, 128, 64, 1]",None,0,0.03422423110441265,0.3372937309469434,relu,50,32
"[11, 128, 64, 32, 1]",None,0,0.03436408215608339,0.32733421029654125,relu,50,32
"[11, 128, 64, 32, 1]",L1,0.001,0.034238576332950854,0.35602675285540886,relu,50,32
"[11, 128, 64, 32, 1]",L2,0.001,0.030704168801472184,0.35339431094927026,relu,50,32
"[11, 128, 64, 32, 1]",L1,0.1,0.05299580857118303,0.30593914380016757,relu,50,32
"[11, 128, 64, 32, 1]",L2,0.1,0.0435369582545405,0.3203799550542675,relu,50,32
"[11, 64, 1]",None,0,0.03241218965584896,0.34718765258430795,tanh,50,32
"[11, 128, 1]",None,0,0.07616489609136441,0.4322183611880302,tanh,50,32
"[11, 64, 32, 1]",None,0,0.02958053341851237,0.33029419549202144,tanh,50,32
"[11, 128, 32, 1]",None,0,0.029765997538500233,0.29804988751108485,tanh,50,32
"[11, 128, 64, 1]",None,0,0.017405737703459156,0.3307968757324,tanh,50,32
"[11, 128, 64, 32, 1]",None,0,0.023622193724661202,0.26072893962659827,tanh,50,32
"[11, 128, 64, 32, 1]",L1,0.001,0.021664803431787425,0.23270768264553018,tanh,50,32
"[11, 128, 64, 32, 1]",L2,0.001,0.022004612529751652,0.25295776489017774,tanh,50,32
"[11, 128, 64, 32, 1]",L1,0.1,0.057236077664674485,0.22582700379984258,tanh,50,32
"[11, 128, 64, 32, 1]",L2,0.1,0.0365819645563591,0.1862113386920995,tanh,50,32
"[11, 64, 1]",None,0,0.08792481585872645,0.43709630919584674,relu,50,64
"[11, 128, 1]",None,0,0.08049131877856511,0.42811742991984186,relu,50,64
"[11, 64, 32, 1]",None,0,0.061151188948349686,0.41695867423589483,relu,50,64
"[11, 128, 32, 1]",None,0,0.05194291026111717,0.3858855318815867,relu,50,64
"[11, 128, 64, 1]",None,0,0.05062201213952244,0.3960074609052381,relu,50,64
"[11, 128, 64, 32, 1]",None,0,0.05225974991766397,0.40307278430992255,relu,50,64
"[11, 128, 64, 32, 1]",L1,0.001,0.09180690909666565,0.516494015976735,relu,50,64
"[11, 128, 64, 32, 1]",L2,0.001,0.06158540615000362,0.3897964002908013,relu,50,64
"[11, 128, 64, 32, 1]",L1,0.1,0.07768670290699499,0.3794025281094829,relu,50,64
"[11, 128, 64, 32, 1]",L2,0.1,0.0707171405336344,0.4093778617093089,relu,50,64
"[11, 64, 1]",None,0,0.0887460771904644,0.4942417267589403,tanh,50,64
"[11, 128, 1]",None,0,0.11008757490233717,0.5509030011331849,tanh,50,64
"[11, 64, 32, 1]",None,0,0.059793954649106536,0.4200620990133952,tanh,50,64
"[11, 128, 32, 1]",None,0,0.06805476527931452,0.35219945242064005,tanh,50,64
"[11, 128, 64, 1]",None,0,0.04164932455471623,0.4118050249139572,tanh,50,64
"[11, 128, 64, 32, 1]",None,0,0.04038685092692927,0.3079245977717548,tanh,50,64
"[11, 128, 64, 32, 1]",L1,0.001,0.04930500901013975,0.33314770053705384,tanh,50,64
"[11, 128, 64, 32, 1]",L2,0.001,0.04253015428316766,0.3026353789459951,tanh,50,64
"[11, 128, 64, 32, 1]",L1,0.1,0.07256224606873947,0.2900063687103932,tanh,50,64
"[11, 128, 64, 32, 1]",L2,0.1,0.052327478436583405,0.2733560859257415,tanh,50,64
"[11, 64, 1]",None,0,0.06358332581024198,0.3874923970446568,relu,100,64
"[11, 128, 1]",None,0,0.04778352085347925,0.34856637432453325,relu,100,64
"[11, 64, 32, 1]",None,0,0.04738274946010922,0.3524303728427667,relu,100,64
"[11, 128, 32, 1]",None,0,0.04482590188519369,0.35772526665655296,relu,100,64
